,TransitionGroupID,Model_Code,annual_probability,BpS_Name,VALUE,ACRES,REL_PERCENT,annual_dist_acres
120,Replacement Fire,13180_57_59_61,0.0009882,Southern and Central Appalachian Cove Forest,1874,188784,11.1,186.5563488
121,Replacement Fire,13200_48_57_61,0.0069854,Central and Southern Appalachian Montane Oak Forest,1875,126209,7.4,881.6203486
123,Replacement Fire,13500_61,0.0012058,Central and Southern Appalachian Spruce-Fir Forest,1878,454640,26.6,548.204912
125,Replacement Fire,13690_60_61_63_64_65_66,0.005519,Central Appalachian Dry Oak-Pine Forest,1882,100688,5.9,555.697072
126,Replacement Fire,13700_53_61_62,0.0009954,Appalachian (Hemlock-)Northern Hardwood Forest,1883,298073,17.5,296.7018642
131,Replacement Fire,14720_61_62_63,0.0010014,Central Interior and Appalachian Riparian Systems,1888,107942,6.3,108.0931188
133,Surface Fire,13030_61_63_64_65_66,0.115684,Northeastern Interior Dry-Mesic Oak Forest,1870,350800,20.5,40581.9472
136,Surface Fire,13180_57_59_61,0.0099514,Southern and Central Appalachian Cove Forest,1874,188784,11.1,1878.665098
137,Surface Fire,13200_48_57_61,0.0310826,Central and Southern Appalachian Montane Oak Forest,1875,126209,7.4,3922.903863
140,Surface Fire,13690_60_61_63_64_65_66,0.0651624,Central Appalachian Dry Oak-Pine Forest,1882,100688,5.9,6561.071731
145,Surface Fire,14720_61_62_63,0.00502,Central Interior and Appalachian Riparian Systems,1888,107942,6.3,541.86884
147,Wind or Weather or Stress,13030_61_63_64_65_66,0.0038462,Northeastern Interior Dry-Mesic Oak Forest,1870,350800,20.5,1349.24696
150,Wind or Weather or Stress,13180_57_59_61,0.004618,Southern and Central Appalachian Cove Forest,1874,188784,11.1,871.804512
151,Wind or Weather or Stress,13200_48_57_61,0.0037226,Central and Southern Appalachian Montane Oak Forest,1875,126209,7.4,469.8256234
153,Wind or Weather or Stress,13500_61,0.0038884,Central and Southern Appalachian Spruce-Fir Forest,1878,454640,26.6,1767.822176
155,Wind or Weather or Stress,13690_60_61_63_64_65_66,0.0235394,Central Appalachian Dry Oak-Pine Forest,1882,100688,5.9,2370.135107
156,Wind or Weather or Stress,13700_53_61_62,0.007389,Appalachian (Hemlock-)Northern Hardwood Forest,1883,298073,17.5,2202.461397
160,Wind or Weather or Stress,14720_61_62_63,0.0049988,Central Interior and Appalachian Riparian Systems,1888,107942,6.3,539.5804696
